_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
59,848,1119,texas heelsplitter,Potamilus,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
60,848,1130,texas heelsplitter,Potamilus,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
61,848,1378,texas heelsplitter,Potamilus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
62,848,1379,texas heelsplitter,Potamilus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
63,1050,689,"cumberland monkeyface, cumberland monkeyface pearly mussel",Quadrula,Unionidae,oyster mussel ,Epioblasma ,Unionidae
64,1050,690,"cumberland monkeyface, cumberland monkeyface pearly mussel",Quadrula,Unionidae,oyster mussel ,Epioblasma ,Unionidae
65,1050,691,"cumberland monkeyface, cumberland monkeyface pearly mussel",Quadrula,Unionidae,oyster mussel ,Epioblasma ,Unionidae
66,1050,1119,"cumberland monkeyface, cumberland monkeyface pearly mussel",Quadrula,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
67,1050,1130,"cumberland monkeyface, cumberland monkeyface pearly mussel",Quadrula,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
68,1050,1378,"cumberland monkeyface, cumberland monkeyface pearly mussel",Quadrula,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
69,1050,1379,"cumberland monkeyface, cumberland monkeyface pearly mussel",Quadrula,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
70,4737,689,salina mucket,Disconaias,Unionidae,oyster mussel ,Epioblasma ,Unionidae
71,4737,690,salina mucket,Disconaias,Unionidae,oyster mussel ,Epioblasma ,Unionidae
72,4737,691,salina mucket,Disconaias,Unionidae,oyster mussel ,Epioblasma ,Unionidae
73,4737,1119,salina mucket,Disconaias,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
74,4737,1130,salina mucket,Disconaias,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
75,4737,1378,salina mucket,Disconaias,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
76,4737,1379,salina mucket,Disconaias,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
77,4806,689,chipola slabshell,Elliptio,Unionidae,oyster mussel ,Epioblasma ,Unionidae
78,4806,690,chipola slabshell,Elliptio,Unionidae,oyster mussel ,Epioblasma ,Unionidae
79,4806,691,chipola slabshell,Elliptio,Unionidae,oyster mussel ,Epioblasma ,Unionidae
80,4806,1119,chipola slabshell,Elliptio,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
81,4806,1130,chipola slabshell,Elliptio,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
82,4806,1378,chipola slabshell,Elliptio,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
83,4806,1379,chipola slabshell,Elliptio,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
84,4828,689,"finerayed pigtoe, finerayed pigtoe, finerayed pigtoe pearlymussel, finerayed pigtoe pearly mussel",Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
85,4828,690,"finerayed pigtoe, finerayed pigtoe, finerayed pigtoe pearlymussel, finerayed pigtoe pearly mussel",Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
86,4828,691,"finerayed pigtoe, finerayed pigtoe, finerayed pigtoe pearlymussel, finerayed pigtoe pearly mussel",Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
