_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
38,598,283,"antafondro mouse lemur, margot marshs mouse lemur",Microcebus,Cheirogaleidae,berthes mouse lemur; madame berthes mouse lemur ,Microcebus ,Cheirogaleidae
39,599,283,"arnholds mouse lemur, montagne dambre mouse lemur",Microcebus,Cheirogaleidae,berthes mouse lemur; madame berthes mouse lemur ,Microcebus ,Cheirogaleidae
40,610,347,yag baligi,Phoxinellus,Cyprinidae,paraphoxinus alepidotus; phoxinellus ,Phoxinellus ,Cyprinidae
41,628,128,cauvery barb,Puntius,Cyprinidae,denisons barb; miss kerala; red line torpedo barb; redlined torpedo fish; denison barb ,Puntius ,Cyprinidae
42,661,13,decarys leaf chameleon,Brookesia,Chamaeleonidae,armoured chameleon; stump tailed chameleon; antsingy leaf chameleon ,Brookesia ,Chamaeleonidae
43,675,284,endos pipistrelle,Pipistrellus,Vespertilionidae,pipistrelle de madre; madeira pipistrelle ,Pipistrellus ,Vespertilionidae
44,678,116,"cuviers hutia, hispaniolan hutia, hispanolan hutia",Plagiodontia,Capromyidae,hispaniolan hutia; hispanolan hutia; zagouti; cuviers hutia ,Plagiodontia ,Capromyidae
45,705,589,oval pigtoe,Pleurobema,Unionidae,club naiad; clubshell; northern clubshell; clubshell pearly mussel ,Pleurobema ,Unionidae
46,726,86,lilfords wall lizard,Podarcis,Lacertidae,podarcis bocagei ssp carbonelli; podarcis carbonellae; carbonells wall lizard ,Podarcis ,Lacertidae
47,726,266,lilfords wall lizard,Podarcis,Lacertidae,lzard de lilford; lzard des balares; lilfords wall lizard ,Podarcis ,Lacertidae
48,726,267,lilfords wall lizard,Podarcis,Lacertidae,lzard de lilford; lzard des balares; lilfords wall lizard ,Podarcis ,Lacertidae
49,729,127,deignan tree skink,Lankascincus,Scincidae,deignans tree skink; deignans lankaskink; deignan tree skink ,Lankascincus ,Scincidae
50,755,380,yellowthroated day gecko,Phelsuma,Gekkonidae,gecko diurne de lile ronde; phelsume de lile ronde; round island day gecko ,Phelsuma ,Gekkonidae
51,755,381,yellowthroated day gecko,Phelsuma,Gekkonidae,gecko diurne de lile ronde; phelsume de lile ronde; round island day gecko ,Phelsuma ,Gekkonidae
52,755,600,yellowthroated day gecko,Phelsuma,Gekkonidae,antanosy day gecko; day gecko ,Phelsuma ,Gekkonidae
53,756,291,three hornedscaled pitviper,Protobothrops,Viperidae,chinese pit viper; ironhead pitviper; mang mountain pit viper; mangshan pitviper; mt mang pit viper; mangshan pit viper ,Protobothrops ,Viperidae
